债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
011698021.IB,公用事业,环保工程及服务,启迪桑德环境资源股份有限公司2016年度第四期超短期融资券,16启迪SCP004,启迪桑德环境资源股份有限公司
101361014.IB,汽车,汽车服务,上海申华控股股份有限公司2013年度第一期中期票据,13申华MTN001,上海申华控股股份有限公司
122338.SH,房地产,园区开发,上海金桥出口加工区开发股份有限公司2013年公司债券,13金桥债,上海金桥出口加工区开发股份有限公司
122479.SH,有色金属,工业金属,山东南山铝业股份有限公司公开发行2015年公司债券(面向合格投资者)(第一期)(品种一),15南铝01,山东南山铝业股份有限公司
011698011.IB,电子,元件Ⅱ,厦门信达股份有限公司2016年度第四期超短期融资券,16信达SCP004,厦门信达股份有限公司
125601.SH,非银金融,多元金融,上海中城联盟投资管理股份有限公司非公开发行2015年公司债券(第一期),15中城01,上海中城联盟投资管理股份有限公司
011698380.IB,0,0,中国康富国际租赁股份有限公司2016年度第一期超短期融资券,16康富租赁SCP001,中国康富国际租赁股份有限公司
011699340.IB,交通运输,港口,宁波港股份有限公司2016年度第一期超短期融资券,16宁波港SCP001,宁波舟山港股份有限公司
112420.SZ,轻工制造,家用轻工,广东潮宏基实业股份有限公司2016年面向合格投资者公开发行公司债券(第一期),16潮宏01,广东潮宏基实业股份有限公司
118448.SZ,非银金融,多元金融,中科招商投资管理集团股份有限公司2015年非公开发行公司债券(第一期)(品种一),15中科01,中科招商投资管理集团股份有限公司
125396.SH,机械设备,专用设备,天津重钢机械装备股份有限公司2014年中小企业私募债券,14重机债,天津重钢机械装备股份有限公司
011534008.IB,交通运输,航空运输,中国东方航空股份有限公司2015年度第八期超短期融资券,15东航股SCP008,中国东方航空股份有限公司
011698001.IB,交通运输,航空运输,中国南方航空股份有限公司2016年度第四期超短期融资券,16南航股SCP004,中国南方航空股份有限公司
011698012.IB,轻工制造,造纸,山东晨鸣纸业集团股份有限公司2016年度第八期超短期融资券,16鲁晨鸣SCP008,山东晨鸣纸业集团股份有限公司
011698173.IB,纺织服装,服装家纺,富贵鸟股份有限公司2016年度第一期超短期融资券,16富贵鸟SCP001,富贵鸟股份有限公司
011698176.IB,交通运输,高速公路,湖北楚天高速公路股份有限公司2016年度第一期超短期融资券,16楚天高速SCP001,湖北楚天高速公路股份有限公司
011698252.IB,传媒,营销传媒,广东省广告集团股份有限公司2016年度第二期超短期融资券,16粤广告SCP002,广东省广告集团股份有限公司
011699121.IB,钢铁,钢铁Ⅱ,宝山钢铁股份有限公司2016年度第一期超短期融资券,16宝钢SCP001,宝山钢铁股份有限公司
011699217.IB,建筑材料,玻璃制造,上海耀皮玻璃集团股份有限公司2016年度第一期超短期融资券,16耀皮玻璃SCP001,上海耀皮玻璃集团股份有限公司
011699351.IB,交通运输,港口,唐山港集团股份有限公司2016年度第一期超短期融资券,16唐山港SCP001,唐山港集团股份有限公司
011699505.IB,交通运输,航空运输,中国国际航空股份有限公司2016年度第二期超短期融资券,16国航股SCP002,中国国际航空股份有限公司
011699530.IB,传媒,文化传媒,中文天地出版传媒股份有限公司2016年度第一期超短期融资券,16中文天地SCP001,中文天地出版传媒股份有限公司
011699651.IB,轻工制造,包装印刷,上海宝钢包装股份有限公司2016年度第一期超短期融资券,16宝钢包装SCP001,上海宝钢包装股份有限公司
011699977.IB,建筑装饰,基础建设,中国中铁股份有限公司2016年度第一期超短期融资券,16中铁股SCP001,中国中铁股份有限公司
031390294.IB,房地产,房地产开发,上海城投控股股份有限公司2013年度第一期非公开定向债务融资工具,13沪城投PPN001,上海城投控股股份有限公司
031491054.IB,综合,综合Ⅱ,天津泰达股份有限公司2014年度第一期非公开定向债务融资工具,14津泰达PPN001,天津泰达股份有限公司
031560077.IB,综合,综合Ⅱ,武汉东湖高新集团股份有限公司2015年度第二期非公开定向债务融资工具,15东湖高新PPN002,武汉东湖高新集团股份有限公司
031568004.IB,汽车,汽车整车,金杯汽车股份有限公司2015年度第一期非公开定向债务融资工具,15金杯汽车PPN001,金杯汽车股份有限公司
031573002.IB,建筑材料,水泥制造,华新水泥股份有限公司2015年度第一期非公开定向债务融资工具,15华新水泥PPN001,华新水泥股份有限公司
031589001.IB,公用事业,水务,钱江水利开发股份有限公司2015年度第二期非公开定向债务融资工具,15钱江水利PPN002,钱江水利开发股份有限公司
041552036.IB,建筑材料,其他建材,中建西部建设股份有限公司2015年度第一期短期融资券,15中建西部CP001,中建西部建设股份有限公司
041556048.IB,电子,其他电子Ⅱ,华工科技产业股份有限公司2015年度第一期短期融资券,15华工科技CP001,华工科技产业股份有限公司
041558089.IB,商业贸易,一般零售,福建东百集团股份有限公司2015年度第二期短期融资券,15闽东百CP002,福建东百集团股份有限公司
041562061.IB,电气设备,电气自动化设备,北京四方继保自动化股份有限公司2015年度第一期短期融资券,15四方继保CP001,北京四方继保自动化股份有限公司
041651038.IB,医药生物,医疗器械,乐普(北京)医疗器械股份有限公司2016年度第一期短期融资券,16乐普CP001,乐普(北京)医疗器械股份有限公司
041653020.IB,有色金属,黄金,山东黄金矿业股份有限公司2016年度第一期短期融资券,16鲁黄金矿CP001,山东黄金矿业股份有限公司
041658007.IB,纺织服装,纺织制造,孚日集团股份有限公司2016年度第一期短期融资券,16孚日CP001,孚日集团股份有限公司
041658039.IB,医药生物,化学制药,浙江仙琚制药股份有限公司2016年度第一期短期融资券,16仙琚制药CP001,浙江仙琚制药股份有限公司
041659034.IB,化工,化学制品,四川雅化实业集团股份有限公司2016年度第一期短期融资券,16雅化实业CP001,四川雅化实业集团股份有限公司
041660001.IB,公用事业,燃气,深圳市燃气集团股份有限公司2016年度第一期短期融资券,16深燃气CP001,深圳市燃气集团股份有限公司
041661002.IB,家用电器,白色家电,澳柯玛股份有限公司2016年度第一期短期融资券,16澳柯玛CP001,澳柯玛股份有限公司
101360010.IB,传媒,文化传媒,吉视传媒股份有限公司2013年度第一期中期票据,13吉视传媒MTN001,吉视传媒股份有限公司
101454040.IB,交通运输,高速公路,四川成渝高速公路股份有限公司2014年度第一期中期票据,14成渝高速MTN001,四川成渝高速公路股份有限公司
101455012.IB,轻工制造,包装印刷,奥瑞金包装股份有限公司2014年度第一期中期票据,14奥瑞金MTN001,奥瑞金包装股份有限公司
101564037.IB,建筑装饰,园林工程,棕榈园林股份有限公司2015年度第一期中期票据,15棕榈园林MTN001,棕榈生态城镇发展股份有限公司
101569028.IB,房地产,房地产开发,泛海控股股份有限公司2015年度第一期中期票据,15泛海MTN001,泛海控股股份有限公司
101579001.IB,房地产,房地产开发,天地源股份有限公司2015年度第一期中期票据,15天地源MTN001,天地源股份有限公司
101659009.IB,房地产,房地产开发,四川蓝光发展股份有限公司2016年度第一期中期票据,16蓝光MTN001,四川蓝光发展股份有限公司
112049.SZ,有色金属,金属非金属新材料,安泰科技股份有限公司2011年公司债券(第一期),11安泰01,安泰科技股份有限公司
112052.SZ,电气设备,电气自动化设备,许继电气股份有限公司2011年公司债券,11许继债,许继电气股份有限公司
112112.SZ,建筑材料,水泥制造,江西万年青水泥股份有限公司2012年公司债券(第一期),12江泥01,江西万年青水泥股份有限公司
112128.SZ,有色金属,黄金,湖南黄金股份有限公司2012年公司债券(第一期),12湘金01,湖南黄金股份有限公司
112180.SZ,传媒,文化传媒,广东奥飞动漫文化股份有限公司2012年公司债券,12奥飞债,奥飞娱乐股份有限公司
112213.SZ,电气设备,高低压设备,江苏中超电缆股份有限公司2014年公司债券,14中超债,江苏中超控股股份有限公司
112246.SZ,轻工制造,家用轻工,北京金一文化发展股份有限公司2015年公司债券,15金一债,北京金一文化发展股份有限公司
112259.SZ,公用事业,电力,甘肃电投能源发展股份有限公司2015年公司债券,15甘电债,甘肃电投能源发展股份有限公司
112260.SZ,房地产,房地产开发,阳光城集团股份有限公司2015年公司债券(第一期),15阳房01,阳光城集团股份有限公司
112338.SZ,计算机,计算机应用,深圳天源迪科信息技术股份有限公司2016年面向合格投资者公开发行公司债券(第一期),16迪科01,深圳天源迪科信息技术股份有限公司
1182277.IB,建筑装饰,基础建设,中国铁建股份有限公司2011年度第一期中期票据,11中铁建MTN1,中国铁建股份有限公司
122191.SH,公用事业,电力,2012年广西桂冠电力股份有限公司公司债券(5年期),12桂冠01,广西桂冠电力股份有限公司
122217.SH,公用事业,水务,重庆水务集团股份有限公司2012年公司债券,12渝水务,重庆水务集团股份有限公司
122224.SH,电气设备,电源设备,上海电气集团股份有限公司2012年公司债券(第一期)(5年期),12电气02,上海电气集团股份有限公司
122323.SH,房地产,房地产开发,江苏凤凰置业投资股份有限公司2014年公司债券,14凤凰债,江苏凤凰置业投资股份有限公司
122329.SH,采掘,煤炭开采,内蒙古伊泰煤炭股份有限公司2014年公司债券(第一期),14伊泰01,内蒙古伊泰煤炭股份有限公司
122348.SH,房地产,房地产开发,北京北辰实业股份有限公司2014年公司债券(品种一),14北辰01,北京北辰实业股份有限公司
122412.SH,医药生物,中药,昆药集团股份有限公司2015年公司债券,15昆药债,昆药集团股份有限公司
125602.SH,非银金融,多元金融,北京信中利投资股份有限公司2015年非公开发行公司债券,15信中利,北京信中利投资股份有限公司
125620.SH,计算机,计算机应用,中安消股份有限公司2015年非公开发行公司债券,15中安消,中安消股份有限公司
135287.SH,机械设备,专用设备,苏州普滤得净化股份有限公司非公开发行2016年公司债券,16普滤得,苏州普滤得净化股份有限公司
135460.SH,房地产,房地产开发,鑫苑(中国)置业有限公司非公开发行2016年公司债券(第一期),16鑫业01,鑫苑(中国)置业有限公司
135574.SH,房地产,房地产开发,广州珠江实业开发股份有限公司非公开发行2016年公司债券(第一期)(品种一),16珠实01,广州珠江实业开发股份有限公司
011603001.IB,化工,石油化工,中国石油化工股份有限公司2016年度第一期超短期融资券,16中石化SCP001,中国石油化工股份有限公司
011698002.IB,机械设备,运输设备,中国中车股份有限公司2016年度第一期超短期融资券,16中车SCP001,中国中车股份有限公司
011698033.IB,采掘,煤炭开采,兖州煤业股份有限公司2016年度第五期超短期融资券,16兖州煤业SCP005,兖州煤业股份有限公司
011698058.IB,有色金属,金属非金属新材料,巨石集团有限公司2016年度第二期超短期融资券,16巨石SCP002,巨石集团有限公司
011698126.IB,医药生物,化学制药,四川科伦药业股份有限公司2016年度第三期超短期融资券,16科伦SCP003,四川科伦药业股份有限公司
011698199.IB,商业贸易,专业零售,江苏宏图高科技股份有限公司2016年度第三期超短期融资券,16宏图高科SCP003,江苏宏图高科技股份有限公司
011698284.IB,食品饮料,饮料制造,北京顺鑫农业股份有限公司2016年度第二期超短期融资券,16顺鑫农业SCP002,北京顺鑫农业股份有限公司
011698292.IB,医药生物,生物制品,上海复星医药(集团)股份有限公司2016年度第二期超短期融资券,16复星医药SCP002,上海复星医药(集团)股份有限公司
011698304.IB,公用事业,电力,大唐国际发电股份有限公司2016年度第五期超短期融资券,16大唐发电SCP005,大唐国际发电股份有限公司
011698398.IB,计算机,计算机应用,神州数码信息服务股份有限公司2016年度第一期超短期融资券,16神州信息SCP001,神州数码信息服务股份有限公司
011699621.IB,商业贸易,商业物业经营,浙江中国小商品城集团股份有限公司2016年度第一期超短期融资券,16浙小商SCP001,浙江中国小商品城集团股份有限公司
011699634.IB,公用事业,水务,北京首创股份有限公司2016年度第二期超短期融资券,16首创股SCP002,北京首创股份有限公司
031564174.IB,公用事业,电力,广西桂东电力股份有限公司2015年度第一期非公开定向债务融资工具,15桂东电力PPN001,广西桂东电力股份有限公司
031660012.IB,综合,综合Ⅱ,山东胜通集团股份有限公司2016年度第一期非公开定向债务融资工具,16胜通PPN001,山东胜通集团股份有限公司
041557007.IB,建筑装饰,基础建设,中国葛洲坝集团股份有限公司2015年度第二期短期融资券,15葛洲坝CP002,中国葛洲坝集团股份有限公司
078010.IB,采掘,采掘服务,2007年中海油田服务股份有限公司公司债券,07中海油服债,中海油田服务股份有限公司
101460013.IB,化工,化学制品,株洲时代新材料科技股份有限公司2014年度第一期中期票据,14株洲新科MTN001,株洲时代新材料科技股份有限公司
101479001.IB,交通运输,港口,茂名港集团有限公司2014年度第一期中期票据,14茂名港MTN001,茂名港集团有限公司
101553024.IB,食品饮料,食品加工,河南省漯河市双汇实业集团有限责任公司2015年度第一期中期票据,15双汇MTN001,河南省漯河市双汇实业集团有限责任公司
101556029.IB,电气设备,电源设备,新疆金风科技股份有限公司2015年度第一期中期票据,15新疆金风MTN001,新疆金风科技股份有限公司
101569018.IB,房地产,房地产开发,上海实业发展股份有限公司2015年度第一期中期票据,15上实发MTN001,上海实业发展股份有限公司
101570005.IB,交通运输,公交,江西长运股份有限公司2015年度第一期中期票据,15赣长运MTN001,江西长运股份有限公司
101571007.IB,房地产,园区开发,南京高科股份有限公司2015年度第一期中期票据,15南京高科MTN001,南京高科股份有限公司
101651018.IB,商业贸易,专业零售,上海豫园旅游商城股份有限公司2016年度第一期中期票据,16豫园商城MTN001,上海豫园旅游商城股份有限公司
101659008.IB,国防军工,航空装备,江西洪都航空工业股份有限公司2016年度第一期中期票据,16洪都航空MTN001,江西洪都航空工业股份有限公司
101664046.IB,建筑材料,玻璃制造,凯盛科技股份有限公司2016年度第一期中期票据,16凯盛股份MTN001,凯盛科技股份有限公司
112025.SZ,交通运输,港口,2011年珠海港股份有限公司公司债券,11珠海债,珠海港股份有限公司
112057.SZ,电子,其他电子Ⅱ,横店集团东磁股份有限公司2011年公司债券,11东磁债,横店集团东磁股份有限公司
112088.SZ,公用事业,环保工程及服务,浙江富春江环保热电股份有限公司2012年公司债券(第一期),12富春01,浙江富春江环保热电股份有限公司
112148.SZ,电子,电子制造Ⅱ,中航光电科技股份有限公司2012年公司债券,12光电债,中航光电科技股份有限公司
112227.SZ,有色金属,工业金属,吉林利源精制股份有限公司2014年公司债券,14利源债,吉林利源精制股份有限公司
112238.SZ,采掘,煤炭开采,深圳市振业(集团)股份有限公司2015年公司债券,15振业债,深圳市振业(集团)股份有限公司
1182327.IB,公用事业,水务,天津创业环保集团股份有限公司2011年度第一期中期票据,11津创业MTN1,天津创业环保集团股份有限公司
118538.SZ,医药生物,化学制药,湖南景峰医药股份有限公司2016年非公开发行公司债券,16景峰债,湖南景峰医药股份有限公司
122172.SH,交通运输,航运,中海发展股份有限公司2012年公司债券(第一期)(10年期),12中海02,中远海运能源运输股份有限公司
122225.SH,机械设备,专用设备,第一拖拉机股份有限公司2012年度公开发行公司债券(第一期),12一拖01,第一拖拉机股份有限公司
122376.SH,房地产,房地产开发,首创置业股份有限公司2015年公司债券,15首置01,首创置业股份有限公司
122494.SH,房地产,房地产开发,华夏幸福基业股份有限公司2015年公司债券(第一期),15华夏05,华夏幸福基业股份有限公司
011698041.IB,公用事业,电力,上海电力股份有限公司2016年度第五期超短期融资券,16沪电力SCP005,上海电力股份有限公司
011698198.IB,医药生物,化学制药,健康元药业集团股份有限公司2016年度第一期超短期融资券,16健康元SCP001,健康元药业集团股份有限公司
011698223.IB,建筑装饰,基础建设,中国交通建设股份有限公司2016年度第二期超短期融资券,16中交建SCP002,中国交通建设股份有限公司
011698225.IB,商业贸易,贸易,辽宁成大股份有限公司2016年度第四期超短期融资券,16辽成大SCP004,辽宁成大股份有限公司
011698327.IB,交通运输,港口,上海国际港务(集团)股份有限公司2016年度第一期超短期融资券,16沪港务SCP001,上海国际港务(集团)股份有限公司
011699066.IB,家用电器,视听器材,TCL集团股份有限公司2016年度第一期超短期融资券,16TCL集SCP001,TCL集团股份有限公司
011699072.IB,医药生物,中药,天士力制药集团股份有限公司2016年度第一期超短期融资券,16天士力药SCP001,天士力制药集团股份有限公司
011699817.IB,交通运输,高速公路,江西赣粤高速公路股份有限公司2016年度第一期超短期融资券,16赣粤SCP001,江西赣粤高速公路股份有限公司
031390380.IB,有色金属,金属非金属新材料,西部金属材料股份有限公司2013年度第一期非公开定向债务融资工具,13西材PPN001,西部金属材料股份有限公司
041559066.IB,轻工制造,家用轻工,大亚科技股份有限公司2015年度第二期短期融资券,15大亚CP002,大亚圣象家居股份有限公司
041570005.IB,机械设备,专用设备,上海振华重工(集团)股份有限公司2015年度第一期短期融资券,15振华CP001,上海振华重工(集团)股份有限公司
041571010.IB,建筑装饰,基础建设,苏交科集团股份有限公司2015年度第一期短期融资券,15苏交科CP001,苏交科集团股份有限公司
041662008.IB,非银金融,多元金融,经纬纺织机械股份有限公司2016年度第一期短期融资券,16经纬纺织CP001,经纬纺织机械股份有限公司
101552041.IB,房地产,房地产开发,金科地产集团股份有限公司2015年度第一期中期票据,15金科地产MTN001,金科地产集团股份有限公司
101558015.IB,综合,综合Ⅱ,中国大连国际合作(集团)股份有限公司2015年度第一期中期票据,15大国际MTN001,中国大连国际合作(集团)股份有限公司
101558022.IB,机械设备,金属制品,中国国际海运集装箱(集团)股份有限公司2015年度第一期中期票据,15中集MTN001,中国国际海运集装箱(集团)股份有限公司
101558027.IB,休闲服务,景点,峨眉山旅游股份有限公司2015年度第一期中期票据,15峨眉山旅MTN001,峨眉山旅游股份有限公司
101656009.IB,汽车,汽车整车,比亚迪股份有限公司2016年度第一期中期票据,16比亚迪MTN001,比亚迪股份有限公司
112047.SZ,农林牧渔,饲料,广东海大集团股份有限公司2011年公司债券,11海大债,广东海大集团股份有限公司
112089.SZ,汽车,汽车零部件,浙江万丰奥威汽轮股份有限公司2012年公司债券(第一期),12万丰01,浙江万丰奥威汽轮股份有限公司
112123.SZ,公用事业,水务,中山公用事业集团股份有限公司2012年(第一期)公司债券,12中山01,中山公用事业集团股份有限公司
112161.SZ,化工,化学制品,浙江传化股份有限公司2013年公司债券,13传化债,浙江传化股份有限公司
112177.SZ,建筑装饰,基础建设,浙江省围海建设集团股份有限公司2013年公司债券,13围海债,浙江省围海建设集团股份有限公司
112189.SZ,建筑材料,其他建材,海南瑞泽新型建材股份有限公司2012年公司债券,12瑞泽债,海南瑞泽新型建材股份有限公司
112207.SZ,非银金融,证券,广东锦龙发展股份有限公司2014年公司债券,14锦龙债,广东锦龙发展股份有限公司
112210.SZ,化工,化学制品,安徽金禾实业股份有限公司2014年公司债券,14金禾债,安徽金禾实业股份有限公司
112242.SZ,建筑装饰,园林工程,岭南园林股份有限公司2015年公司债券,15岭南债,岭南园林股份有限公司
112256.SZ,房地产,房地产开发,天津天保基建股份有限公司2015年公司债券(第一期),15天保01,天津天保基建股份有限公司
112281.SZ,房地产,房地产开发,深圳市中洲投资控股股份有限公司2015年面向合格投资者公开发行公司债券,15中洲债,深圳市中洲投资控股股份有限公司
112308.SZ,房地产,房地产开发,银亿房地产股份有限公司2015年面向合格投资者公开发行公司债券(第一期),15银亿01,银亿房地产股份有限公司
112336.SZ,医药生物,中药,广东太安堂药业股份有限公司2016年面向合格投资者公开发行公司债券,16太安债,广东太安堂药业股份有限公司
112406.SZ,电子,元件Ⅱ,力合股份有限公司2016年面向合格投资者公开发行公司债券,16力合债,力合股份有限公司
1182270.IB,交通运输,高速公路,广东省高速公路发展股份有限公司2011年度第一期中期票据,11粤高速MTN1,广东省高速公路发展股份有限公司
118716.SZ,电子,电子制造Ⅱ,东莞宜安科技股份有限公司2016年非公开发行公司债券,16宜安科,东莞宜安科技股份有限公司
122205.SH,汽车,汽车零部件,上海交运集团股份有限公司2012年公司债券,12沪交运,上海交运集团股份有限公司
135748.SH,房地产,房地产开发,宁波富达股份有限公司非公开发行2016年公司债券(第一期),16富达债,宁波富达股份有限公司
136241.SH,农林牧渔,动物保健,中牧实业股份有限公司2016年公开发行公司债券(第一期),16中牧01,中牧实业股份有限公司
136644.SH,机械设备,专用设备,天地科技股份有限公司公开发行2016年公司债券(第一期),16天地01,天地科技股份有限公司
136645.SH,纺织服装,纺织制造,百隆东方股份有限公司2016年公司债券(第一期),16百隆01,百隆东方股份有限公司
136667.SH,采掘,其他采掘,海南矿业股份有限公司公开发行2016年公司债券(面向合格投资者)(第一期),16海矿01,海南矿业股份有限公司
011698125.IB,交通运输,港口,深圳赤湾港航股份有限公司2016年度第一期超短期融资券,16赤港湾SCP001,深圳赤湾港航股份有限公司
011698234.IB,交通运输,高速公路,江苏宁沪高速公路股份有限公司2016年度第六期超短期融资券,16宁沪高SCP006,江苏宁沪高速公路股份有限公司
041553070.IB,传媒,文化传媒,河南有线电视网络集团有限公司2015年度第一期短期融资券,15河南有线CP001,河南有线电视网络集团有限公司
101660024.IB,交通运输,航空运输,湖南机场股份有限公司2016年度第一期中期票据,16湖南机场MTN001,湖南机场股份有限公司
112083.SZ,电子,光学光电子,佛山市国星光电股份有限公司2011年公司债券,11国星债,佛山市国星光电股份有限公司
123018.SH,商业贸易,一般零售,海南海岛建设股份有限公司2013年公司债券,13海岛债,海南海航基础设施投资集团股份有限公司
011698208.IB,有色金属,黄金,紫金矿业集团股份有限公司2016年度第四期超短期融资券,16紫金矿业SCP004,紫金矿业集团股份有限公司
011698362.IB,医药生物,中药,广州市香雪制药股份有限公司2016年度第一期超短期融资券,16香雪制药SCP001,广州市香雪制药股份有限公司
011699061.IB,交通运输,高速公路,山东高速股份有限公司2016年度第一期超短期融资券,16鲁高速股SCP001,山东高速股份有限公司
011699680.IB,家用电器,白色家电,美的集团股份有限公司2016年度第一期超短期融资券,16美的SCP001,美的集团股份有限公司
031390337.IB,建筑装饰,房屋建设,上海建工集团股份有限公司2013年度第一期非公开定向债务融资工具,13沪建工PPN001,上海建工集团股份有限公司
031569046.IB,房地产,园区开发,北京空港科技园区股份有限公司2015年度第一期非公开定向债务融资工具,15空港科技PPN001,北京空港科技园区股份有限公司
031575005.IB,建筑装饰,基础建设,宏润建设集团股份有限公司2015年度第一期非公开定向债务融资工具,15宏润建设PPN001,宏润建设集团股份有限公司
041552037.IB,电气设备,电气自动化设备,国电南京自动化股份有限公司2015年度第二期短期融资券,15国电南自CP002,国电南京自动化股份有限公司
041558106.IB,商业贸易,一般零售,中百控股集团股份有限公司2015年度第一期短期融资券,15中百CP001,中百控股集团股份有限公司
041653012.IB,汽车,汽车整车,广州汽车集团股份有限公司2016年度第一期短期融资券,16广州汽车CP001,广州汽车集团股份有限公司
101461022.IB,传媒,文化传媒,华闻传媒投资集团股份有限公司2014年度第一期中期票据,14华闻传媒MTN001,华闻传媒投资集团股份有限公司
101551041.IB,房地产,房地产开发,南京栖霞建设股份有限公司2015年度第一期中期票据,15宁栖建MTN001,南京栖霞建设股份有限公司
101554048.IB,房地产,房地产开发,中粮地产(集团)股份有限公司2015年度第一期中期票据,15中粮地产MTN001,中粮地产(集团)股份有限公司
101558019.IB,房地产,房地产开发,信达地产股份有限公司2015年度第一期中期票据,15信达地产MTN001,信达地产股份有限公司
118659.SZ,公用事业,环保工程及服务,江苏维尔利环保科技股份有限公司2016年非公开发行公司债券(第一期),16维尔01,江苏维尔利环保科技股份有限公司
122027.SH,房地产,房地产开发,2009年北京城建投资发展股份有限公司公司债券,09京城建,北京城建投资发展股份有限公司
122189.SH,商业贸易,一般零售,北京王府井百货(集团)股份有限公司2012年公司债券(5年期),12王府01,王府井集团股份有限公司
122398.SH,传媒,营销传媒,北京巴士传媒股份有限公司2015年公司债券,15北巴债,北京巴士传媒股份有限公司
122444.SH,房地产,房地产开发,冠城大通股份有限公司2015年公司债券,15冠城债,冠城大通股份有限公司
011616001.IB,公用事业,电力,华电国际电力股份有限公司2016年度第一期超短期融资券,16华电股SCP001,华电国际电力股份有限公司
011698066.IB,交通运输,港口,大连港股份有限公司2016年度第一期超短期融资券,16大连港股SCP001,大连港股份有限公司
011698108.IB,建筑装饰,专业工程,中国中材国际工程股份有限公司2016年度第一期超短期融资券,16中材国工SCP001,中国中材国际工程股份有限公司
011698194.IB,建筑材料,玻璃制造,中国南玻集团股份有限公司2016年度第三期超短期融资券,16南玻SCP003,中国南玻集团股份有限公司
011698255.IB,医药生物,化学制药,丽珠医药集团股份有限公司2016年度第一期超短期融资券,16丽珠SCP001,丽珠医药集团股份有限公司
011699088.IB,轻工制造,家用轻工,喜临门家具股份有限公司2016年度第一期超短期融资券,16喜临门SCP001,喜临门家具股份有限公司
011699668.IB,化工,化学制品,中材科技股份有限公司2016年度第二期超短期融资券,16中材科技SCP002,中材科技股份有限公司
031490677.IB,交通运输,航空运输,海南航空股份有限公司2014年度第一期非公开定向债务融资工具,14海南航空PPN001,海南航空股份有限公司
031490884.IB,建筑装饰,基础建设,广东水电二局股份有限公司2014年度第一期非公开定向债务融资工具,14粤水电PPN001,广东水电二局股份有限公司
041558097.IB,有色金属,稀有金属,洛阳栾川钼业集团股份有限公司2015年度第一期短期融资券,15洛钼CP001,洛阳栾川钼业集团股份有限公司
041654041.IB,公用事业,环保工程及服务,国家电投集团远达环保股份有限公司2016年度第一期短期融资券,16远达环保CP001,国家电投集团远达环保股份有限公司
041659006.IB,公用事业,环保工程及服务,中国天楹股份有限公司2016年度第一期短期融资券,16天楹CP001,中国天楹股份有限公司
101354019.IB,采掘,煤炭开采,中国神华能源股份有限公司2013年度第一期中期票据,13神华能源MTN001,中国神华能源股份有限公司
101455022.IB,建筑材料,水泥制造,甘肃祁连山水泥集团股份有限公司2014年度第一期中期票据,14祁连山MTN001,甘肃祁连山水泥集团股份有限公司
112184.SZ,建筑材料,其他建材,北京嘉寓门窗幕墙股份有限公司2013年非公开发行公司债券,13嘉寓债,北京嘉寓门窗幕墙股份有限公司
112216.SZ,电子,电子制造Ⅱ,欣旺达电子股份有限公司2014年公司债券(第一期),14欣旺01,欣旺达电子股份有限公司
112217.SZ,公用事业,环保工程及服务,东江环保股份有限公司2014年公司债券(第一期),14东江01,东江环保股份有限公司
112231.SZ,有色金属,稀有金属,郴州市金贵银业股份有限公司2014年公司债券,14金贵债,郴州市金贵银业股份有限公司
122278.SH,汽车,汽车零部件,华域汽车系统股份有限公司2013年公司债券(5年期),13华域02,华域汽车系统股份有限公司
122283.SH,有色金属,工业金属,盛屯矿业集团股份有限公司2013年公司债券,13盛屯债,盛屯矿业集团股份有限公司
136064.SH,交通运输,铁路运输,中铁铁龙集装箱物流股份有限公司2013年公司债券(第二期),13铁龙02,中铁铁龙集装箱物流股份有限公司
136104.SH,房地产,园区开发,上海市北高新股份有限公司2015年公司债券,15市北债,上海市北高新股份有限公司
136561.SH,医药生物,医药商业,老百姓大药房连锁股份有限公司2016年公司债券,16老百姓,老百姓大药房连锁股份有限公司
011698409.IB,传媒,文化传媒,华谊兄弟传媒股份有限公司2016年度第一期超短期融资券,16华谊兄弟SCP001,华谊兄弟传媒股份有限公司
011699289.IB,采掘,石油开采,中国石油天然气股份有限公司2016年度第一期超短期融资券,16中油股SCP001,中国石油天然气股份有限公司
011699648.IB,建筑材料,水泥制造,北京金隅股份有限公司2016年度第一期超短期融资券,16金隅SCP001,北京金隅股份有限公司
122069.SH,建筑材料,水泥制造,2011年安徽海螺水泥股份有限公司公司债券(7年),11海螺02,安徽海螺水泥股份有限公司
122320.SH,房地产,房地产开发,中国国际贸易中心股份有限公司2014年公司债券(第一期),14国贸01,中国国际贸易中心股份有限公司
1282288.IB,建筑材料,水泥制造,宁夏建材集团股份有限公司2012年度第一期中期票据,12宁建材MTN1,宁夏建材集团股份有限公司
011698090.IB,公用事业,电力,华能国际电力股份有限公司2016年度第七期超短期融资券,16华能SCP007,华能国际电力股份有限公司
031390335.IB,综合,综合Ⅱ,中信国安信息产业股份有限公司2013年第一期非公开定向债务融资工具,13中信国安PPN001,中信国安信息产业股份有限公司
041551058.IB,采掘,煤炭开采,上海大屯能源股份有限公司2015年度第二期短期融资券,15大屯能源CP002,上海大屯能源股份有限公司
041556047.IB,交通运输,高速公路,现代投资股份有限公司2015年度第二期短期融资券,15现代投资CP002,现代投资股份有限公司
041651036.IB,采掘,煤炭开采,中国中煤能源股份有限公司2016年度第一期短期融资券,16中煤能源CP001,中国中煤能源股份有限公司
041653055.IB,医药生物,化学制药,天津红日药业股份有限公司2016年度第一期短期融资券,16红日药业CP001,天津红日药业股份有限公司
