债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
135759.SH,房地产,房地产开发,复地(集团)股份有限公司2016年非公开发行公司债券(第一期),16复地F1,复地(集团)股份有限公司
136077.SH,钢铁,钢铁Ⅱ,中天钢铁集团有限公司2015年公开发行公司债券(第一期),15中天01,中天钢铁集团有限公司
136128.SH,汽车,汽车整车,郑州宇通集团有限公司2015年公开发行公司债券(第一期),15宇通01,郑州宇通集团有限公司
136170.SH,房地产,房地产开发,景瑞地产(集团)有限公司公开发行2016年公司债券(第一期),16景瑞01,景瑞地产(集团)有限公司
136178.SH,房地产,房地产开发,北京兆泰集团股份有限公司2016年公司债券(第一期),16兆泰01,北京兆泰集团股份有限公司
136344.SH,通信,通信设备,广州无线电集团有限公司2016年公司债券(第一期),16广电01,广州无线电集团有限公司
136583.SH,商业贸易,专业零售,北新建材集团有限公司2016年公司债券,16北新集,北新建材集团有限公司
136614.SH,化工,化学原料,唐山三友碱业(集团)有限公司2016年公司债券(品种一),16碱业01,唐山三友碱业(集团)有限公司
1382106.IB,交通运输,0,深圳市深业基建控股有限公司2013年度第一期中期票据,13深基建MTN1,深圳市深业基建控股有限公司
1382156.IB,商业贸易,专业零售,江西省天然气(赣投气通)控股有限公司2013年度第一期中期票据,13赣然气MTN1,江西省天然气(赣投气通)控股有限公司
1382240.IB,电子,0,天津中环电子信息集团有限公司2013年度第一期中期票据,13中环MTN1,天津中环电子信息集团有限公司
011598154.IB,交通运输,港口,丹东港集团有限公司2015年度第四期超短期融资券,15丹东港SCP004,丹东港集团有限公司
011698036.IB,电气设备,0,德力西集团有限公司2016年度第二期超短期融资券,16德力西SCP002,德力西集团有限公司
011698046.IB,公用事业,电力,华电福新能源股份有限公司2016年度第四期超短期融资券,16福新能源SCP004,华电福新能源股份有限公司
011698079.IB,商业贸易,专业零售,润华集团股份有限公司2016年度第一期超短期融资券,16润华SCP001,润华集团股份有限公司
011698149.IB,公用事业,电力,安徽省能源集团有限公司2016年度第一期超短期融资券,16皖能源SCP001,安徽省能源集团有限公司
011698219.IB,化工,化学原料,山东玉皇化工有限公司2016年度第二期超短期融资券,16玉皇化工SCP002,山东玉皇化工有限公司
011698226.IB,交通运输,0,宁波市杭州湾大桥发展有限公司2016年度第一期超短期融资券,16杭州湾SCP001,宁波市杭州湾大桥发展有限公司
011698236.IB,交通运输,0,厦门路桥建设集团有限公司2016年度第三期超短期融资券,16厦路桥SCP003,厦门路桥建设集团有限公司
011698248.IB,综合,综合Ⅱ,龙岩工贸发展集团有限公司2016年度第二期超短期融资券,16龙岩工贸SCP002,龙岩工贸发展集团有限公司
011698289.IB,公用事业,电力,南京南瑞集团公司2016年度第一期超短期融资券,16南瑞集SCP001,南京南瑞集团公司
011698294.IB,商业贸易,贸易,安徽国贸集团控股有限公司2016年度第二期超短期融资券,16皖国贸SCP002,安徽国贸集团控股有限公司
011698313.IB,商业贸易,一般零售,中国供销集团有限公司2016年度第二期超短期融资券,16供销SCP002,中国供销集团有限公司
011698319.IB,公用事业,电力,雅砻江流域水电开发有限公司2016年度第四期超短期融资券,16雅砻江SCP004,雅砻江流域水电开发有限公司
011698346.IB,建筑装饰,基础建设,海天建设集团有限公司2016年度第三期超短期融资券,16海天建设SCP003,海天建设集团有限公司
011698388.IB,交通运输,0,烟台打捞局2016年度第一期超短期融资券,16烟台打捞SCP001,烟台打捞局
011698414.IB,商业贸易,0,新疆供销投资(控股)集团有限责任公司2016年度第一期超短期融资券,16新疆供销SCP001,新疆供销投资(控股)集团有限责任公司
011699038.IB,有色金属,工业金属,东营方圆有色金属有限公司2016年度第一期超短期融资券,16东营方圆SCP001,东营方圆有色金属有限公司
011699106.IB,交通运输,港口,广州港股份有限公司2016年度第一期超短期融资券,16广州港股SCP001,广州港股份有限公司
011699346.IB,商业贸易,贸易,重庆对外经贸(集团)有限公司2016年度第一期超短期融资券,16渝外贸SCP001,重庆对外经贸(集团)有限公司
011699568.IB,综合,综合Ⅱ,中国中信有限公司2016年度第一期超短期融资券,16中国中信SCP001,中国中信有限公司
031128002.IB,房地产,房地产开发,北京首都开发股份有限公司2011年度第一期非公开定向债务融资工具(五年期),11首开PPN001(5年期),北京首都开发股份有限公司
031390426.IB,交通运输,0,甘肃省公路航空旅游投资集团有限公司2013年第一期非公开定向债务融资工具,13甘公投PPN001,甘肃省公路航空旅游投资集团有限公司
031490062.IB,建筑装饰,基础建设,云南建工集团有限公司2014年度第一期非公开定向债务融资工具,14滇建工PPN001,云南省建设投资控股集团有限公司
031490150.IB,0,0,云南物流产业集团有限公司2014年度第一期非公开定向债务融资工具,14云南物流PPN001,云南物流产业集团有限公司
031490406.IB,化工,化学制品,蚌埠投资集团有限公司2014年度第一期非公开定向债务融资工具,14蚌埠投资PPN001,蚌埠投资集团有限公司
031490580.IB,综合,综合Ⅱ,厦门海沧投资集团有限公司2014年度第一期非公开定向债务融资工具,14海沧投资PPN001,厦门海沧投资集团有限公司
